id,label,properties
735,date,"{""datetime"":""1913-12-21"",""__unique"":[""datetime""],""__label"":""date""}"
2001,date,"{""datetime"":""1919-09-17"",""__unique"":[""datetime""],""__label"":""date""}"
7345,date,"{""datetime"":""1929-05-24"",""__unique"":[""datetime""],""__label"":""date""}"
3790,date,"{""datetime"":""1913-07-11"",""__unique"":[""datetime""],""__label"":""date""}"
7835,date,"{""datetime"":""1914-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
10339,date,"{""datetime"":""1919-07-19"",""__unique"":[""datetime""],""__label"":""date""}"
10543,date,"{""datetime"":""1938-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
11996,date,"{""datetime"":""1937-06-27"",""__unique"":[""datetime""],""__label"":""date""}"
13363,date,"{""datetime"":""1928-12-25"",""__unique"":[""datetime""],""__label"":""date""}"
6206,date,"{""datetime"":""1930-04-01"",""__unique"":[""datetime""],""__label"":""date""}"
8984,date,"{""datetime"":""1920-12-19"",""__unique"":[""datetime""],""__label"":""date""}"
5218,date,"{""datetime"":""1920-08-01"",""__unique"":[""datetime""],""__label"":""date""}"
2189,date,"{""datetime"":""1920-12-29"",""__unique"":[""datetime""],""__label"":""date""}"
11983,date,"{""datetime"":""1928-06-23"",""__unique"":[""datetime""],""__label"":""date""}"
4096,date,"{""datetime"":""1928-07-25"",""__unique"":[""datetime""],""__label"":""date""}"
2030,date,"{""datetime"":""1922-04-18"",""__unique"":[""datetime""],""__label"":""date""}"
85,date,"{""datetime"":""1933-09-01"",""__unique"":[""datetime""],""__label"":""date""}"
673,date,"{""datetime"":""1929-09-12"",""__unique"":[""datetime""],""__label"":""date""}"
3579,date,"{""datetime"":""1911-10-01"",""__unique"":[""datetime""],""__label"":""date""}"
2441,date,"{""datetime"":""1897-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
7062,date,"{""datetime"":""1919-08-02"",""__unique"":[""datetime""],""__label"":""date""}"
5121,date,"{""datetime"":""1912-06-29"",""__unique"":[""datetime""],""__label"":""date""}"
12074,date,"{""datetime"":""1910-03-05"",""__unique"":[""datetime""],""__label"":""date""}"
18967,date,"{""datetime"":""1928-02-13"",""__unique"":[""datetime""],""__label"":""date""}"
7935,date,"{""datetime"":""1890-02-06"",""__unique"":[""datetime""],""__label"":""date""}"
17142,date,"{""datetime"":""1927-04-10"",""__unique"":[""datetime""],""__label"":""date""}"
2108,date,"{""datetime"":""1913-07-02"",""__unique"":[""datetime""],""__label"":""date""}"
8724,date,"{""datetime"":""1912-12-26"",""__unique"":[""datetime""],""__label"":""date""}"
10253,date,"{""datetime"":""1935-06-18"",""__unique"":[""datetime""],""__label"":""date""}"
9195,date,"{""datetime"":""1911-11-22"",""__unique"":[""datetime""],""__label"":""date""}"
8354,date,"{""datetime"":""1926-12-13"",""__unique"":[""datetime""],""__label"":""date""}"
3923,date,"{""datetime"":""1922-12-27"",""__unique"":[""datetime""],""__label"":""date""}"
1568,date,"{""datetime"":""1923-05-08"",""__unique"":[""datetime""],""__label"":""date""}"
4083,date,"{""datetime"":""1912-08-04"",""__unique"":[""datetime""],""__label"":""date""}"
13526,date,"{""datetime"":""1930-08-08"",""__unique"":[""datetime""],""__label"":""date""}"
1889,date,"{""datetime"":""1924-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
15681,date,"{""datetime"":""1930-08-11"",""__unique"":[""datetime""],""__label"":""date""}"
14868,date,"{""datetime"":""1924-05-10"",""__unique"":[""datetime""],""__label"":""date""}"
1810,date,"{""datetime"":""1923-03-11"",""__unique"":[""datetime""],""__label"":""date""}"
11444,date,"{""datetime"":""1918-07-31"",""__unique"":[""datetime""],""__label"":""date""}"
12951,date,"{""datetime"":""1930-07-13"",""__unique"":[""datetime""],""__label"":""date""}"
1629,date,"{""datetime"":""1912-04-07"",""__unique"":[""datetime""],""__label"":""date""}"
9840,date,"{""datetime"":""1924-05-17"",""__unique"":[""datetime""],""__label"":""date""}"
2716,date,"{""datetime"":""1928-07-20"",""__unique"":[""datetime""],""__label"":""date""}"
1335,date,"{""datetime"":""1911-08-03"",""__unique"":[""datetime""],""__label"":""date""}"
12750,date,"{""datetime"":""1924-07-31"",""__unique"":[""datetime""],""__label"":""date""}"
13133,date,"{""datetime"":""1932-12-16"",""__unique"":[""datetime""],""__label"":""date""}"
6565,date,"{""datetime"":""1934-06-09"",""__unique"":[""datetime""],""__label"":""date""}"
9193,date,"{""datetime"":""1930-08-20"",""__unique"":[""datetime""],""__label"":""date""}"
3541,date,"{""datetime"":""1909-08-08"",""__unique"":[""datetime""],""__label"":""date""}"
9033,date,"{""datetime"":""1930-08-21"",""__unique"":[""datetime""],""__label"":""date""}"
12510,date,"{""datetime"":""1933-06-05"",""__unique"":[""datetime""],""__label"":""date""}"
13860,date,"{""datetime"":""1933-12-16"",""__unique"":[""datetime""],""__label"":""date""}"
19872,date,"{""datetime"":""1909-08-07"",""__unique"":[""datetime""],""__label"":""date""}"
1626,date,"{""datetime"":""1917-10-04"",""__unique"":[""datetime""],""__label"":""date""}"
12392,date,"{""datetime"":""1909-08-04"",""__unique"":[""datetime""],""__label"":""date""}"
15942,date,"{""datetime"":""1915-04-03"",""__unique"":[""datetime""],""__label"":""date""}"
