id,label,properties
2327,place,"{""name"":""Móðólfsfell (Móðarsfell)"",""long"":""-19.591707"",""lat"":""65.484972"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1965,place,"{""name"":""Sog"",""long"":""-21.027841"",""lat"":""64.132842"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4217,place,"{""name"":""Hvalvík í Borgarfirði"",""long"":""-13.633662"",""lat"":""65.514745"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4229,place,"{""name"":""Berufjörður í Reykhólasveit"",""long"":""-22.087579"",""lat"":""65.491901"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4691,place,"{""name"":""Nes, Selvogur"",""long"":""-21.66675"",""lat"":""63.82483"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2652,place,"{""name"":""Helgársel"",""long"":""-17.956413"",""lat"":""65.569176"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
809,place,"{""name"":""Vatnsdalur"",""long"":""-20.290302"",""lat"":""65.410962"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
667,place,"{""name"":""Hólssel"",""long"":""-16.208948"",""lat"":""65.694402"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
991,place,"{""name"":""Skarð, Meðalland"",""long"":""-18.085302"",""lat"":""63.599849"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
740,place,"{""name"":""Stafafell, Lón"",""long"":""-14.859822"",""lat"":""64.419286"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2391,place,"{""name"":""Gull. og Kjós.: Miðnes"",""long"":""-22.652725"",""lat"":""64.036226"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
455,place,"{""name"":""Snæfjallaströnd"",""long"":""-22.719298"",""lat"":""66.134044"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3499,place,"{""name"":""Framnesvegur 65"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3938,place,"{""name"":""Fláfjall í Heinabergsjökli"",""long"":""-15.620467"",""lat"":""64.383497"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3742,place,"{""name"":""Hvammssel í Jökuldal"",""long"":""-14.601061"",""lat"":""65.416146"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3808,place,"{""name"":""Elínarhöfði"",""long"":""-22.058228"",""lat"":""64.332744"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
411,place,"{""name"":""Grundarfjörður"",""long"":""-23.263145"",""lat"":""64.92353"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2178,place,"{""name"":""Blótkelda í Goðanesi"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1981,place,"{""name"":""Hvíld, Vestmannaeyjar"",""long"":""-20.279688"",""lat"":""63.434229"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
996,place,"{""name"":""Glúmsstaðir, Fljótsdalur"",""long"":""-15.053769"",""lat"":""64.98795"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2933,place,"{""name"":""Fjallssel í Fellum"",""long"":""-14.571404"",""lat"":""65.296694"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3847,place,"{""name"":""Gilsfjörður"",""long"":""-21.80965"",""lat"":""65.431369"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3619,place,"{""name"":""Hvanneyri í Andakíl"",""long"":""-21.765722"",""lat"":""64.564234"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
564,place,"{""name"":""Sæunnarstaðir í Hallárdal á Skagaströnd"",""long"":""-20.120375"",""lat"":""65.812611"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1143,place,"{""name"":""Ormssker fyrir utan Hamarsfjörð"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1785,place,"{""name"":""Gálgasteinn"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
214,place,"{""name"":""Vestfirðir"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3269,place,"{""name"":""Möðrudalur"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2303,place,"{""name"":""Hlíðarhús, Vestmannaeyjar"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2786,place,"{""name"":""Keldnaland"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1643,place,"{""name"":""Hjaltastaðir, Blönduhlíð"",""long"":""-19.344758"",""lat"":""65.603147"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1382,place,"{""name"":""Fyrir vestan eða norðan"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3741,place,"{""name"":""Ormsstaðir á Völlum"",""long"":""-14.723481"",""lat"":""65.105275"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1595,place,"{""name"":""Helgustaðir, Vestur-Fljót."",""long"":""-19.000393"",""lat"":""66.040385"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2481,place,"{""name"":""Búrfjöll við Langjökul"",""long"":""-19.735247"",""lat"":""64.947583"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3907,place,"{""name"":""Göngukonusteinn"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1520,place,"{""name"":""Efri-Ás, Hjaltadalur"",""long"":""-19.21304"",""lat"":""65.760695"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
285,place,"{""name"":""Ódáðavötn"",""long"":""-14.762192"",""lat"":""64.83634"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1945,place,"{""name"":""Móskógar í V-Fljótum, mósgerði, "",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
697,place,"{""name"":""Litla-Hraun"",""long"":""-21.127387"",""lat"":""63.859809"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1521,place,"{""name"":""Djúpidalur, Blönduhlíð"",""long"":""-19.283474"",""lat"":""65.556532"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
601,place,"{""name"":""Fremri-Hvesta"",""long"":""-23.709673"",""lat"":""65.696689"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2975,place,"{""name"":""Árneshreppur"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4490,place,"{""name"":""N-Þing: Hafragil"",""long"":""-16.399157"",""lat"":""65.830285"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1323,place,"{""name"":""Gull. og Kjós.: Klifgjá"",""long"":""-22.536547"",""lat"":""63.888338"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4193,place,"{""name"":""Hágöngur á Holtamannaafrétti"",""long"":""-18.220766"",""lat"":""64.565933"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4253,place,"{""name"":""Réttarhóll"",""long"":""-19.823934"",""lat"":""65.217639"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3749,place,"{""name"":""Sótafell"",""long"":""-20.76707"",""lat"":""65.446134"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
