src-id,dst-id,label,properties
2619,2632,date-of-narration,"{""__label"":""date-of-narration""}"
5122,67,date-of-narration,"{""__label"":""date-of-narration""}"
19302,13274,date-of-narration,"{""__label"":""date-of-narration""}"
17482,7123,date-of-narration,"{""__label"":""date-of-narration""}"
11963,11966,date-of-narration,"{""__label"":""date-of-narration""}"
13896,13898,date-of-narration,"{""__label"":""date-of-narration""}"
5449,4096,date-of-narration,"{""__label"":""date-of-narration""}"
10236,1629,date-of-narration,"{""__label"":""date-of-narration""}"
6377,6381,date-of-narration,"{""__label"":""date-of-narration""}"
13460,3723,date-of-narration,"{""__label"":""date-of-narration""}"
3524,3527,date-of-narration,"{""__label"":""date-of-narration""}"
7680,4711,date-of-narration,"{""__label"":""date-of-narration""}"
9381,9384,date-of-narration,"{""__label"":""date-of-narration""}"
3886,3892,date-of-narration,"{""__label"":""date-of-narration""}"
4716,240,date-of-narration,"{""__label"":""date-of-narration""}"
14934,3848,date-of-narration,"{""__label"":""date-of-narration""}"
6056,183,date-of-narration,"{""__label"":""date-of-narration""}"
9591,5604,date-of-narration,"{""__label"":""date-of-narration""}"
15354,7732,date-of-narration,"{""__label"":""date-of-narration""}"
11714,2550,date-of-narration,"{""__label"":""date-of-narration""}"
15474,8810,date-of-narration,"{""__label"":""date-of-narration""}"
17144,6720,date-of-narration,"{""__label"":""date-of-narration""}"
6027,5458,date-of-narration,"{""__label"":""date-of-narration""}"
19777,910,date-of-narration,"{""__label"":""date-of-narration""}"
16736,16738,date-of-narration,"{""__label"":""date-of-narration""}"
