id,label,properties
1370,person,"{""name"":""Steinmóður Oddsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4101,person,"{""name"":""Arnbjörg Einarsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2702,person,"{""name"":""Eiríkur Jakobsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
12796,person,"{""name"":""Sigríður Sæmundsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2011,person,"{""name"":""Sagnir úr Mjóafirði eystra"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2194,person,"{""name"":""Þórður Tómasson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
3798,person,"{""name"":""Fólk í Suður-Þingeyjarsýslu"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
735,person,"{""name"":""Stefán Vagnsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5081,person,"{""name"":""Magnús Jóhannesson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
8382,person,"{""name"":""Vigfús Sveinsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
3970,person,"{""name"":""Sveinbjörn Helgason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4002,person,"{""name"":""Jón Brynjólfsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5279,person,"{""name"":""Pétur Einarsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5461,person,"{""name"":""Jón Sigtryggsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5618,person,"{""name"":""Jónína Jónsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
3181,person,"{""name"":""Ásgeir Sigurðsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
7173,person,"{""name"":""Rósa Benjamínsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2913,person,"{""name"":""Guðrún Einarsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2311,person,"{""name"":""Einar Andrésson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
3349,person,"{""name"":""Einar Páll Jóhannsson Long"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
6655,person,"{""name"":""Bjarni Þorkelsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2425,person,"{""name"":""Jón Haraldsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4621,person,"{""name"":""Þórður Gunnarsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
262,person,"{""name"":""Jóhanna Soffía Jónsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2058,person,"{""name"":""Sumarliði Brandsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2590,person,"{""name"":""Guðrún Runólfsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2734,person,"{""name"":""Guðrún Björnsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
8620,person,"{""name"":""Kristján Jóhann G. Vagnsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
