src-id,dst-id,label,properties
2702,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4_4975"",""title"":""Sagnir Páls Melsteðs\nÝmsar minnisgreinar"",""__label"":""place-of-narration""}"
2519,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_5_2095"",""title"":""Hringdalsdraugurinn"",""__label"":""place-of-narration""}"
2930,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1088"",""title"":""Ekkjan á Álftanesinu"",""__label"":""place-of-narration""}"
757,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_429"",""title"":""Valtýr og Símon"",""__label"":""place-of-narration""}"
3208,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1245"",""title"":""Séra Hallgrímur Pétursson"",""__label"":""place-of-narration""}"
988,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3221"",""title"":""Dimmt ský"",""__label"":""place-of-narration""}"
3368,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_16_5133"",""title"":""Draumvísa úr Svínadal"",""__label"":""place-of-narration""}"
338,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_20_4764"",""title"":""Fylgjan frá Urriðavatni"",""__label"":""place-of-narration""}"
4150,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1581"",""title"":""Huldukaupstaður hjá Halllandskletti"",""__label"":""place-of-narration""}"
1507,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_349"",""title"":""Líkavatn"",""__label"":""place-of-narration""}"
482,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3578"",""title"":""Frá Húseyjar-Gvendi og tilberanum"",""__label"":""place-of-narration""}"
1140,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_4_4939"",""title"":""Sjódraugurinn í Grindavík"",""__label"":""place-of-narration""}"
667,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5269"",""title"":""Ragnheiður Þorkelsdóttir verður úti"",""__label"":""place-of-narration""}"
107,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4410"",""title"":""Sagan af Gunnlaugi og Solveigu"",""__label"":""place-of-narration""}"
3880,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4126"",""title"":""Ferðavenjur"",""__label"":""place-of-narration""}"
1581,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_1_3120"",""title"":""Álfabyggðir í Hrafnsfirði"",""__label"":""place-of-narration""}"
4652,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1343"",""title"":""Tónavör"",""__label"":""place-of-narration""}"
4283,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_637"",""title"":""Litlisjór"",""__label"":""place-of-narration""}"
1169,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_362"",""title"":""Mörvambarrif"",""__label"":""place-of-narration""}"
2554,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_12_2302"",""title"":""Svipirnir á Trölladal og Leirdalsheiði"",""__label"":""place-of-narration""}"
3989,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_12_2179"",""title"":""Dauður maður bjargar hrossi "",""__label"":""place-of-narration""}"
2618,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_5_2862"",""title"":""Draugurinn Finnur"",""__label"":""place-of-narration""}"
92,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3357"",""title"":""Sjónir Sigmundar Ásgeirssonar"",""__label"":""place-of-narration""}"
214,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3828"",""title"":""Mannvættir í sjó"",""__label"":""place-of-narration""}"
4265,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1635"",""title"":""Endurgoldin mjólk"",""__label"":""place-of-narration""}"
768,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_4407"",""title"":""Glettingar í Njarðvík"",""__label"":""place-of-narration""}"
1746,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5250"",""title"":""Gvendarsteinn"",""__label"":""place-of-narration""}"
2253,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3294"",""title"":""Stagleyjardraumur"",""__label"":""place-of-narration""}"
292,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_166"",""title"":""Bóndinn á Gnúpum"",""__label"":""place-of-narration""}"
886,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3744"",""title"":""Tungu-Brestur II"",""__label"":""place-of-narration""}"
1789,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_412"",""title"":""Vermaðurinn"",""__label"":""place-of-narration""}"
1414,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_15_3634"",""title"":""Afdrif Hálfdánar"",""__label"":""place-of-narration""}"
1520,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_1940"",""title"":""Svipur Eldjárns Hallsteinssonar"",""__label"":""place-of-narration""}"
2559,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_248"",""title"":""Stíflishóladraugar"",""__label"":""place-of-narration""}"
4411,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_16_5168"",""title"":""Þorgeirsboli: Boli hlýðir á húslestur"",""__label"":""place-of-narration""}"
1207,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_5_2814"",""title"":""Hrakningur í Lónafirði"",""__label"":""place-of-narration""}"
2551,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_12_2317"",""title"":""Rauður kálfur"",""__label"":""place-of-narration""}"
783,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_373"",""title"":""Frá Skutulsey og Hjörtsey"",""__label"":""place-of-narration""}"
3364,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_21_5638"",""title"":""Sending kaupmannsins"",""__label"":""place-of-narration""}"
2174,1,place-of-narration,"{""path"":""is.sagnagrunnur.SG_9_304"",""title"":""Skatan í Þverá"",""__label"":""place-of-narration""}"
